Week,Day,Date,Time,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
18,Sat,2023-01-07,4:30 PM,Kansas City Chiefs,@,Las Vegas Raiders,boxscore,31,13,349,0,279,2
18,Sat,2023-01-07,8:15 PM,Jacksonville Jaguars,,Tennessee Titans,boxscore,20,16,222,1,312,2
18,Sun,2023-01-08,1:00 PM,Buffalo Bills,,New England Patriots,boxscore,35,23,327,3,341,3
18,Sun,2023-01-08,1:00 PM,Cincinnati Bengals,,Baltimore Ravens,boxscore,27,16,257,1,386,4
18,Sun,2023-01-08,1:00 PM,Atlanta Falcons,,Tampa Bay Buccaneers,boxscore,30,17,382,1,222,1
18,Sun,2023-01-08,1:00 PM,Carolina Panthers,@,New Orleans Saints,boxscore,10,7,203,2,304,1
18,Sun,2023-01-08,1:00 PM,Minnesota Vikings,@,Chicago Bears,boxscore,29,13,482,2,259,2
18,Sun,2023-01-08,1:00 PM,Pittsburgh Steelers,,Cleveland Browns,boxscore,28,14,337,1,307,2
18,Sun,2023-01-08,1:00 PM,Houston Texans,@,Indianapolis Colts,boxscore,32,31,360,3,398,3
18,Sun,2023-01-08,1:00 PM,Miami Dolphins,,New York Jets,boxscore,11,6,302,0,187,0
18,Sun,2023-01-08,4:25 PM,San Francisco 49ers,,Arizona Cardinals,boxscore,38,13,311,0,255,4
18,Sun,2023-01-08,4:25 PM,Washington Commanders,,Dallas Cowboys,boxscore,26,6,309,1,182,2
18,Sun,2023-01-08,4:25 PM,Denver Broncos,,Los Angeles Chargers,boxscore,31,28,471,2,352,2
18,Sun,2023-01-08,4:25 PM,Philadelphia Eagles,,New York Giants,boxscore,22,16,342,1,284,0
18,Sun,2023-01-08,4:25 PM,Seattle Seahawks,,Los Angeles Rams,boxscore,19,16,402,2,269,1
18,Sun,2023-01-08,8:20 PM,Detroit Lions,@,Green Bay Packers,boxscore,20,16,323,0,291,2
