Week,Day,Date,Time,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
10,Thu,2022-11-10,8:15PM,Carolina Panthers,,Atlanta Falcons,boxscore,25,15,333,0,291,1
10,Sun,2022-11-13,9:30AM,Tampa Bay Buccaneers,,Seattle Seahawks,boxscore,21,16,419,2,283,1
10,Sun,2022-11-13,1:00PM,Minnesota Vikings,@,Buffalo Bills,boxscore,33,30,481,2,486,4
10,Sun,2022-11-13,1:00PM,Miami Dolphins,,Cleveland Browns,boxscore,39,17,491,0,297,1
10,Sun,2022-11-13,1:00PM,Tennessee Titans,,Denver Broncos,boxscore,17,10,307,1,313,1
10,Sun,2022-11-13,1:00PM,New York Giants,,Houston Texans,boxscore,24,16,367,0,387,2
10,Sun,2022-11-13,1:00PM,Detroit Lions,@,Chicago Bears,boxscore,31,30,323,0,408,1
10,Sun,2022-11-13,1:00PM,Kansas City Chiefs,,Jacksonville Jaguars,boxscore,27,17,486,3,315,0
10,Sun,2022-11-13,1:00PM,Pittsburgh Steelers,,New Orleans Saints,boxscore,20,10,379,0,186,2
10,Sun,2022-11-13,4:05PM,Indianapolis Colts,@,Las Vegas Raiders,boxscore,25,20,415,1,309,0
10,Sun,2022-11-13,4:25PM,Green Bay Packers,,Dallas Cowboys,boxscore,31,28,415,2,421,2
10,Sun,2022-11-13,4:25PM,Arizona Cardinals,@,Los Angeles Rams,boxscore,27,17,298,0,256,2
10,Sun,2022-11-13,8:20PM,San Francisco 49ers,,Los Angeles Chargers,boxscore,22,16,387,1,238,1
10,Mon,2022-11-14,8:15PM,Washington Commanders,@,Philadelphia Eagles,boxscore,32,21,330,2,264,4
